desireToConnect,increasedLoneliness,recognizeLoneliness,abilityToBeHappy,healthConfirmationPrePandemic,withoutProof,age,ethnisity,personality,sexuality
Heavily increased,"Yes, often",Very Important,Somewhat increased,Very Important,Very Likely,22-26,White,Extrovert (more outgoing),Heterosexual
Moderately increased,"Yes, often",Generally Welcome,No noted difference,Important,Likely,22-26,White,Extrovert (more outgoing),Heterosexual
Moderately increased,"Yes, often",Very Important,Somewhat increased,Important,Somewhat Likely,22-26,White,Introvert (less outgoing),Bisexual
Heavily increased,"Yes, often",Somewhat Important,Significantly decreased,Somewhat Important,Somewhat Unlikely,22-26,White,Extrovert (more outgoing),Heterosexual
Moderately increased,"Yes, sometimes",Generally Welcome,Significantly increased,Very Important,Somewhat Unlikely,27-29,White,Extrovert (more outgoing),Heterosexual
Moderately decreased,"Yes, often",Somewhat Important,Somewhat increased,Very Important,Somewhat Unlikely,22-26,White,Extrovert (more outgoing),Heterosexual
Moderately decreased,"Yes, sometimes",Very Important,Significantly decreased,Very Important,Somewhat Likely,22-26,White,Extrovert (more outgoing),Heterosexual
Heavily decreased,"Yes, sometimes",Generally Welcome,Somewhat increased,Somewhat Important,Likely,22-26,White,Introvert (less outgoing),Heterosexual
Moderately increased,"Yes, often",Very Important,Somewhat decreased,Important,Somewhat Likely,27-29,East Asian,Extrovert (more outgoing),Heterosexual
Moderately increased,"Yes, often",Very Important,Somewhat increased,Important,Somewhat Likely,22-26,White,Introvert (less outgoing),Bisexual
Moderately decreased,No noticed change,Generally Welcome,Somewhat increased,Somewhat Unimportant,Likely,22-26,White,Introvert (less outgoing),Heterosexual
Heavily increased,"Yes, often",Very Important,Somewhat decreased,Very Important,Very Unlikely,22-26,White,Introvert (less outgoing),Heterosexual
Moderately increased,"Yes, sometimes",Somewhat Important,No noted difference,Important,Likely,22-26,White,Extrovert (more outgoing),Heterosexual
Heavily increased,"Yes, often",Somewhat Important,Somewhat decreased,Very Important,Very Unlikely,27-29,White,Extrovert (more outgoing),Bisexual
Heavily increased,"Yes, often",Very Important,Significantly decreased,Somewhat Important,Somewhat Likely,22-26,Asian,Extrovert (more outgoing),Heterosexual
Moderately increased,"Yes, often",Very Important,Significantly decreased,Very Important,Very Unlikely,22-26,Asian,Introvert (less outgoing),Heterosexual
Heavily increased,"Yes, often",Generally Welcome,Significantly decreased,No Answer,No Answer,22-26,Asian,Introvert (less outgoing),Heterosexual
Heavily increased,"Yes, often",Very Important,Somewhat increased,Very Important,Very Likely,22-26,White,Extrovert (more outgoing),Heterosexual
Moderately decreased,"Yes, often",Somewhat Important,No noted difference,Somewhat Important,Very Unlikely,22-26,White,Introvert (less outgoing),Heterosexual
Moderately increased,"Yes, often",Very Important,Somewhat decreased,Very Important,Somewhat Unlikely,22-26,White,Introvert (less outgoing),Heterosexual
Moderately increased,"Yes, often",Very Important,No noted difference,Very Important,Somewhat Unlikely,22-26,White,Extrovert (more outgoing),Heterosexual
Moderately increased,"Yes, sometimes",Somewhat Important,Somewhat decreased,Somewhat Unimportant,Somewhat Unlikely,22-26,White,Introvert (less outgoing),Heterosexual
Heavily increased,"Yes, often",Somewhat Unimportant,Somewhat increased,Very Important,Somewhat Likely,22-26,White,Introvert (less outgoing),Bisexual
Not at all,"Yes, sometimes",Generally Welcome,Significantly increased,Very Important,Likely,22-26,White,Introvert (less outgoing),Heterosexual
Moderately decreased,"Yes, often",Generally Welcome,Somewhat increased,Somewhat Important,Somewhat Likely,18-21,White,Introvert (less outgoing),Heterosexual
Moderately increased,"Yes, often",Generally Welcome,Somewhat decreased,Very Important,Somewhat Unlikely,18-21,White,Introvert (less outgoing),Heterosexual
Moderately decreased,"Yes, often",Generally Welcome,Somewhat increased,Very Important,Very Likely,18-21,White,Introvert (less outgoing),Heterosexual
Moderately increased,"Yes, often",Very Important,Significantly decreased,Very Important,Somewhat Likely,22-26,White,Extrovert (more outgoing),Heterosexual
Moderately decreased,"Yes, sometimes",Somewhat Important,Somewhat increased,Important,Somewhat Likely,22-26,Other,Extrovert (more outgoing),Heterosexual
Heavily increased,"Yes, often",Somewhat Important,Significantly decreased,Very Important,Somewhat Likely,18-21,White,Introvert (less outgoing),Heterosexual
Heavily increased,"Yes, often",Very Important,Significantly increased,Very Important,Somewhat Likely,18-21,White,Introvert (less outgoing),Heterosexual
Moderately increased,"Yes, often",Generally Welcome,No noted difference,Very Important,Somewhat Unlikely,22-26,White,Introvert (less outgoing),Bisexual
Moderately decreased,"Yes, often",Somewhat Important,Somewhat increased,Very Important,Likely,22-26,White,Introvert (less outgoing),Heterosexual
Moderately increased,"Yes, sometimes",Very Important,Significantly increased,Very Important,Likely,27-29,White,Extrovert (more outgoing),Heterosexual
Moderately increased,"Yes, sometimes",Somewhat Important,Somewhat increased,Very Important,Somewhat Likely,22-26,White,Extrovert (more outgoing),Heterosexual
Moderately decreased,"Yes, often",Somewhat Important,No noted difference,Very Important,Somewhat Unlikely,18-21,White,Introvert (less outgoing),Heterosexual
Heavily increased,"Yes, often",Very Important,Significantly decreased,Very Important,Somewhat Likely,18-21,White,Extrovert (more outgoing),Bisexual
Moderately increased,"Yes, often",Very Important,No noted difference,Somewhat Important,Likely,18-21,White,Introvert (less outgoing),Heterosexual
Moderately decreased,"Yes, often",Generally Welcome,Somewhat decreased,Important,Likely,22-26,White,Extrovert (more outgoing),Heterosexual
Moderately increased,"Yes, sometimes",Generally Welcome,Somewhat increased,Important,Likely,22-26,White,Introvert (less outgoing),Heterosexual
Moderately increased,"Yes, sometimes",Generally Welcome,Somewhat increased,Very Important,Likely,22-26,White,Introvert (less outgoing),Heterosexual
Not at all,"Yes, sometimes",Somewhat Important,Somewhat decreased,Very Important,Somewhat Likely,22-26,White,Introvert (less outgoing),Heterosexual
Moderately decreased,"Yes, often",Somewhat Important,Significantly decreased,Very Important,Very Unlikely,22-26,White,Introvert (less outgoing),Heterosexual
Moderately decreased,"Yes, often",Very Important,Somewhat increased,Somewhat Important,Somewhat Unlikely,22-26,White,Introvert (less outgoing),Homosexual
Moderately increased,"Yes, often",Somewhat Unimportant,Somewhat increased,Very Important,Very Unlikely,18-21,White,Introvert (less outgoing),Homosexual
Moderately increased,"Yes, often",Very Important,Significantly decreased,Very Important,Likely,22-26,White,Extrovert (more outgoing),Heterosexual
Moderately increased,"Yes, sometimes",Very Important,Somewhat increased,Somewhat Unimportant,Very Unlikely,18-21,White,Extrovert (more outgoing),Bisexual
Moderately increased,"Yes, often",Very Important,Somewhat decreased,Somewhat Important,Somewhat Unlikely,18-21,White,Introvert (less outgoing),Bisexual
Moderately decreased,"Yes, sometimes",Somewhat Unimportant,Somewhat increased,Very Important,Somewhat Unlikely,22-26,South Asian,Introvert (less outgoing),Heterosexual
Moderately increased,"Yes, often",Generally Welcome,Somewhat increased,Somewhat Important,Somewhat Likely,18-21,White,Introvert (less outgoing),Heterosexual
Moderately increased,"Yes, often",Somewhat Unimportant,Significantly increased,Very Important,Somewhat Unlikely,22-26,White,Introvert (less outgoing),Heterosexual
Moderately increased,"Yes, sometimes",Somewhat Important,Somewhat decreased,Very Important,Somewhat Likely,18-21,White,Extrovert (more outgoing),Bisexual
Moderately decreased,"Yes, often",Very Important,Significantly decreased,Very Important,No Answer,22-26,White,Introvert (less outgoing),Bisexual
Moderately increased,"Yes, sometimes",Somewhat Unimportant,Significantly increased,Very Important,Very Likely,22-26,White,Extrovert (more outgoing),Heterosexual
Heavily increased,"Yes, often",Generally Welcome,Somewhat decreased,Very Important,Very Unlikely,22-26,White,Extrovert (more outgoing),Heterosexual
Heavily increased,"Yes, often",Somewhat Unimportant,Significantly decreased,Very Important,Very Unlikely,22-26,White,Introvert (less outgoing),Bisexual
Moderately increased,"Yes, often",Somewhat Important,Somewhat decreased,Somewhat Important,Very Likely,18-21,White,Extrovert (more outgoing),Bisexual
Moderately increased,"Yes, often",Somewhat Important,Somewhat decreased,Very Important,Likely,18-21,White,Extrovert (more outgoing),Heterosexual
Heavily increased,"Yes, often",Generally Welcome,Somewhat decreased,Very Important,Very Unlikely,22-26,White,Introvert (less outgoing),Heterosexual
Moderately increased,"Yes, sometimes",Generally Welcome,Somewhat increased,Very Important,Somewhat Unlikely,18-21,White,Extrovert (more outgoing),Heterosexual
Moderately increased,"Yes, sometimes",Generally Welcome,Somewhat increased,Very Important,Somewhat Likely,22-26,Black,Introvert (less outgoing),Bisexual
Moderately decreased,"Yes, often",Generally Welcome,Significantly decreased,Very Important,Somewhat Likely,22-26,White,Introvert (less outgoing),Heterosexual
Moderately decreased,"Yes, sometimes",Somewhat Unimportant,No noted difference,Very Important,Somewhat Unlikely,22-26,White,Introvert (less outgoing),Heterosexual
Moderately increased,"Yes, sometimes",Somewhat Unimportant,Somewhat increased,Very Important,Likely,22-26,Hispanic,Introvert (less outgoing),Heterosexual
Not at all,"Yes, sometimes",Generally Welcome,Somewhat increased,Important,Very Unlikely,22-26,White,Extrovert (more outgoing),Heterosexual
Moderately decreased,"Yes, often",Somewhat Important,Somewhat increased,Somewhat Important,Somewhat Likely,22-26,White,Introvert (less outgoing),Heterosexual
Moderately increased,"Yes, often",Very Important,Somewhat increased,Somewhat Unimportant,Likely,22-26,White,Extrovert (more outgoing),Heterosexual
Moderately decreased,"Yes, often",Generally Welcome,Somewhat decreased,Somewhat Unimportant,Likely,22-26,White,Extrovert (more outgoing),Bisexual
Heavily increased,"Yes, often",Somewhat Important,Significantly increased,Very Important,Very Unlikely,22-26,Black,Extrovert (more outgoing),Heterosexual
Heavily increased,"Yes, often",Somewhat Important,Somewhat increased,Somewhat Important,Very Unlikely,22-26,White,Introvert (less outgoing),Heterosexual
Moderately increased,"Yes, often",Somewhat Important,Significantly decreased,No Answer,No Answer,18-21,White,Introvert (less outgoing),Heterosexual
Moderately decreased,No noticed change,Generally Welcome,Somewhat increased,Very Important,Likely,22-26,White,Introvert (less outgoing),Heterosexual
Moderately decreased,"Yes, sometimes",Somewhat Important,Somewhat increased,Very Important,Very Unlikely,22-26,White,Extrovert (more outgoing),Heterosexual
Moderately increased,"Yes, often",Very Important,No noted difference,Very Important,Somewhat Likely,22-26,White,Extrovert (more outgoing),Heterosexual
Moderately decreased,"Yes, often",Somewhat Important,Somewhat decreased,Very Important,Somewhat Unlikely,18-21,White,Extrovert (more outgoing),Bisexual
Moderately decreased,"Yes, sometimes",Very Unimportant,No noted difference,Very Important,Somewhat Unlikely,22-26,Black,Introvert (less outgoing),Heterosexual
Heavily increased,"Yes, often",Very Important,Significantly increased,Very Important,Very Unlikely,22-26,White,Extrovert (more outgoing),Bisexual
Moderately decreased,"Yes, often",Somewhat Important,Somewhat increased,Very Important,Likely,22-26,White,Introvert (less outgoing),Heterosexual
Moderately increased,"Yes, often",Generally Welcome,Somewhat increased,Very Important,Somewhat Unlikely,18-21,White,Introvert (less outgoing),Heterosexual
Heavily increased,"Yes, often",Somewhat Important,Significantly increased,Very Important,Very Likely,22-26,White,Extrovert (more outgoing),Heterosexual
Not at all,"Yes, sometimes",Somewhat Important,Somewhat decreased,No Answer,No Answer,22-26,White,Introvert (less outgoing),Heterosexual
Moderately decreased,"Yes, often",Somewhat Unimportant,Somewhat increased,Very Important,Somewhat Unlikely,18-21,Asian,Extrovert (more outgoing),Pansexual
Heavily increased,"Yes, sometimes",Somewhat Important,No noted difference,Somewhat Important,Likely,18-21,White,Extrovert (more outgoing),Heterosexual
Moderately increased,"Yes, sometimes",Generally Welcome,No noted difference,No Answer,No Answer,18-21,White,Introvert (less outgoing),Homosexual
Heavily increased,"Yes, often",Generally Welcome,Somewhat increased,Very Important,Somewhat Likely,22-26,White,Extrovert (more outgoing),Heterosexual
Moderately increased,"Yes, often",Generally Welcome,Significantly decreased,Somewhat Unimportant,Likely,18-21,White,Extrovert (more outgoing),Heterosexual
Not at all,"Yes, often",Generally Welcome,Significantly decreased,Very Important,Very Likely,22-26,White,Introvert (less outgoing),Heterosexual
Moderately increased,"Yes, sometimes",Very Important,Somewhat increased,Very Important,Somewhat Unlikely,18-21,White,Introvert (less outgoing),Other
Heavily increased,"Yes, often",Very Important,No noted difference,Very Important,Somewhat Unlikely,18-21,South American,Extrovert (more outgoing),Bisexual
Moderately increased,"Yes, often",Somewhat Important,Somewhat increased,Very Important,Somewhat Unlikely,22-26,White,Introvert (less outgoing),Heterosexual
Heavily increased,"Yes, often",Very Important,Somewhat decreased,Important,Somewhat Likely,22-26,White,Introvert (less outgoing),Bisexual
Heavily increased,"Yes, often",Generally Welcome,Significantly decreased,Very Important,Somewhat Likely,22-26,White,Extrovert (more outgoing),Heterosexual
Heavily increased,"Yes, often",Very Important,Significantly decreased,Very Important,Very Likely,22-26,White,Introvert (less outgoing),Heterosexual
Heavily increased,"Yes, often",Somewhat Unimportant,Somewhat increased,Important,Very Unlikely,22-26,White,Introvert (less outgoing),Heterosexual
Moderately increased,"Yes, often",Very Important,Somewhat increased,Somewhat Unimportant,Very Unlikely,22-26,White,Extrovert (more outgoing),Bisexual
Heavily increased,"Yes, often",Very Important,Significantly decreased,Very Important,Very Unlikely,18-21,Hispanic,Extrovert (more outgoing),Heterosexual
Not at all,"Yes, often",Somewhat Important,Somewhat increased,Very Important,Somewhat Unlikely,22-26,White,Extrovert (more outgoing),Heterosexual
Heavily increased,"Yes, often",Very Unimportant,Somewhat decreased,Very Important,Somewhat Likely,22-26,Hispanic,Introvert (less outgoing),Bisexual
Moderately increased,"Yes, often",Generally Welcome,Significantly increased,Very Important,Very Unlikely,22-26,South Asian,Introvert (less outgoing),Heterosexual
Heavily increased,"Yes, often",Somewhat Important,Significantly increased,Very Important,Very Unlikely,22-26,White,Extrovert (more outgoing),Bisexual
Heavily increased,"Yes, sometimes",Somewhat Unimportant,Somewhat increased,Important,Somewhat Likely,22-26,South Asian,Introvert (less outgoing),Heterosexual
Heavily increased,"Yes, often",Somewhat Unimportant,Significantly decreased,Very Important,Very Likely,22-26,Black,Extrovert (more outgoing),Bisexual
Moderately increased,"Yes, often",Generally Welcome,Significantly decreased,Somewhat Unimportant,Somewhat Unlikely,22-26,White,Extrovert (more outgoing),Heterosexual
Moderately decreased,"Yes, sometimes",Somewhat Unimportant,Significantly increased,Very Important,Somewhat Unlikely,22-26,White,Extrovert (more outgoing),Heterosexual
Moderately increased,"Yes, often",Somewhat Important,Somewhat decreased,Very Important,Somewhat Likely,22-26,White,Introvert (less outgoing),Heterosexual
Not at all,"Yes, sometimes",Somewhat Important,Somewhat increased,Somewhat Unimportant,Somewhat Likely,22-26,White,Introvert (less outgoing),Heterosexual
Heavily increased,"Yes, often",Somewhat Important,Somewhat decreased,Very Important,Somewhat Unlikely,22-26,White,Introvert (less outgoing),Heterosexual
Moderately increased,"Yes, often",Somewhat Important,Somewhat decreased,Somewhat Important,Very Unlikely,18-21,White,Introvert (less outgoing),Heterosexual
Not at all,"Yes, sometimes",Very Unimportant,Significantly increased,Somewhat Important,Somewhat Unlikely,22-26,White,Introvert (less outgoing),Heterosexual
Moderately increased,"Yes, sometimes",Somewhat Unimportant,Somewhat decreased,Somewhat Important,Somewhat Likely,22-26,White,Extrovert (more outgoing),Heterosexual
Heavily increased,"Yes, often",Somewhat Important,Somewhat decreased,Very Important,Likely,18-21,White,Introvert (less outgoing),Bisexual
Moderately decreased,"Yes, often",Somewhat Important,Somewhat decreased,Somewhat Important,Likely,22-26,White,Extrovert (more outgoing),Heterosexual
Moderately increased,"Yes, often",Very Important,Somewhat increased,Important,Very Unlikely,22-26,White,Extrovert (more outgoing),Heterosexual
Heavily increased,"Yes, sometimes",Generally Welcome,Somewhat increased,Somewhat Important,Somewhat Likely,22-26,White,Introvert (less outgoing),Bisexual
Heavily increased,"Yes, sometimes",Very Important,Somewhat increased,Important,Somewhat Unlikely,18-21,White,Extrovert (more outgoing),Heterosexual
Heavily increased,"Yes, often",Very Important,Somewhat decreased,Important,Very Unlikely,22-26,White,Introvert (less outgoing),Heterosexual
Moderately increased,"Yes, sometimes",Somewhat Important,Somewhat increased,Important,Likely,22-26,White,Extrovert (more outgoing),Heterosexual
Moderately decreased,"Yes, sometimes",Very Important,Somewhat decreased,Very Important,Somewhat Likely,22-26,White,Introvert (less outgoing),Heterosexual
Moderately increased,"Yes, often",Somewhat Unimportant,Significantly increased,Very Important,Very Unlikely,22-26,White,Introvert (less outgoing),Bisexual
Heavily increased,"Yes, often",Somewhat Unimportant,Significantly decreased,Very Important,Very Likely,22-26,South American,Introvert (less outgoing),Heterosexual
Heavily increased,"Yes, often",Somewhat Important,Somewhat increased,Very Important,Somewhat Likely,22-26,White,Extrovert (more outgoing),Heterosexual
Moderately increased,"Yes, sometimes",Very Important,Somewhat decreased,Very Important,Very Unlikely,22-26,White,Introvert (less outgoing),Heterosexual
Moderately increased,"Yes, often",Somewhat Important,Somewhat increased,Somewhat Important,Likely,22-26,White,Extrovert (more outgoing),Heterosexual
Moderately decreased,"Yes, often",Generally Welcome,Somewhat increased,Very Important,Very Unlikely,22-26,White,Introvert (less outgoing),Bisexual
Heavily increased,"Yes, sometimes",Somewhat Important,Somewhat increased,Very Important,Somewhat Likely,18-21,White,Extrovert (more outgoing),Heterosexual
Moderately increased,"Yes, often",Very Important,Somewhat decreased,Very Important,Somewhat Likely,22-26,White,Introvert (less outgoing),Bisexual
Moderately decreased,"Yes, sometimes",Somewhat Unimportant,Somewhat increased,Important,Somewhat Unlikely,22-26,White,Introvert (less outgoing),Bisexual
Heavily increased,"Yes, often",Very Important,No noted difference,Very Important,Very Likely,18-21,White,Extrovert (more outgoing),Heterosexual
Heavily increased,"Yes, often",Somewhat Important,Somewhat increased,Very Important,Likely,22-26,White,Extrovert (more outgoing),Bisexual
Moderately increased,"Yes, sometimes",Somewhat Important,Somewhat increased,Very Important,Somewhat Likely,22-26,White,Introvert (less outgoing),Heterosexual
Heavily increased,"Yes, often",Very Important,Somewhat decreased,Very Important,Likely,22-26,White,Extrovert (more outgoing),Heterosexual
Heavily increased,"Yes, often",Very Important,Somewhat decreased,Very Important,Likely,22-26,White,Extrovert (more outgoing),Heterosexual
Moderately increased,"Yes, often",Very Important,Significantly increased,No Answer,No Answer,22-26,White,Introvert (less outgoing),Heterosexual
Heavily increased,"Yes, often",Very Important,Somewhat increased,Somewhat Unimportant,Very Likely,22-26,White,Extrovert (more outgoing),Bisexual
Moderately decreased,"Yes, often",Somewhat Important,Significantly increased,Very Important,Somewhat Unlikely,18-21,White,Extrovert (more outgoing),Heterosexual
Moderately increased,"Yes, sometimes",Very Important,Somewhat increased,Very Important,Somewhat Likely,22-26,White,Introvert (less outgoing),Heterosexual
Moderately increased,"Yes, sometimes",Somewhat Important,Somewhat increased,Somewhat Unimportant,Likely,22-26,White,Extrovert (more outgoing),Heterosexual
Heavily increased,"Yes, sometimes",Somewhat Unimportant,Somewhat increased,Very Important,Very Likely,18-21,White,Extrovert (more outgoing),Heterosexual
Heavily increased,"Yes, often",Very Important,Somewhat increased,Very Important,Likely,18-21,White,Extrovert (more outgoing),Heterosexual
Moderately increased,"Yes, often",Generally Welcome,Somewhat increased,Very Important,Somewhat Unlikely,22-26,Middle Eastern,Extrovert (more outgoing),Bisexual
Heavily increased,"Yes, often",Somewhat Important,Somewhat decreased,Very Important,Somewhat Unlikely,22-26,White,Extrovert (more outgoing),Heterosexual
Moderately decreased,"Yes, often",Very Important,Significantly increased,Very Important,Very Unlikely,22-26,White,Extrovert (more outgoing),Heterosexual
Moderately decreased,"Yes, sometimes",Generally Welcome,Somewhat increased,Somewhat Important,Likely,18-21,White,Introvert (less outgoing),Heterosexual
Moderately increased,"Yes, often",Somewhat Important,Somewhat decreased,Very Important,Somewhat Unlikely,22-26,Asian,Extrovert (more outgoing),Bisexual
Moderately increased,"Yes, sometimes",Generally Welcome,Somewhat increased,Very Important,Very Likely,22-26,Hispanic,Extrovert (more outgoing),Heterosexual
Heavily increased,"Yes, often",Somewhat Important,Somewhat increased,No Answer,No Answer,22-26,White,Introvert (less outgoing),Heterosexual
Moderately increased,No noticed change,Somewhat Important,Somewhat increased,Very Important,Likely,22-26,South Asian,Introvert (less outgoing),Heterosexual
Moderately increased,"Yes, often",Very Important,Somewhat decreased,Very Important,Very Likely,22-26,White,Extrovert (more outgoing),Heterosexual
Heavily increased,"Yes, often",Very Important,Somewhat decreased,Very Important,Likely,22-26,White,Introvert (less outgoing),Heterosexual
Moderately decreased,"Yes, often",Very Important,Somewhat decreased,Very Important,Somewhat Unlikely,18-21,White,Introvert (less outgoing),Heterosexual
No Answer,"Yes, sometimes",Generally Welcome,Somewhat decreased,Very Important,Somewhat Unlikely,22-26,White,Extrovert (more outgoing),Heterosexual
Heavily increased,"Yes, often",Somewhat Important,Significantly increased,Very Important,Very Unlikely,22-26,Hispanic,Introvert (less outgoing),Bisexual
Moderately increased,"Yes, often",Somewhat Important,No noted difference,Very Important,Very Unlikely,22-26,White,Extrovert (more outgoing),Heterosexual
Moderately decreased,"Yes, often",Very Important,Somewhat increased,No Answer,No Answer,22-26,White,Introvert (less outgoing),Heterosexual
Moderately increased,"Yes, sometimes",Somewhat Unimportant,Significantly increased,Somewhat Important,Somewhat Likely,22-26,White,Introvert (less outgoing),Heterosexual
Moderately increased,"Yes, sometimes",Generally Welcome,Somewhat increased,Somewhat Important,Somewhat Unlikely,22-26,White,Introvert (less outgoing),Heterosexual
Not at all,"Yes, often",Very Important,Significantly decreased,No Answer,No Answer,22-26,White,Extrovert (more outgoing),Heterosexual
Moderately increased,"Yes, sometimes",Generally Welcome,Somewhat increased,Somewhat Important,Likely,22-26,White,Introvert (less outgoing),Bisexual
Heavily increased,"Yes, often",Somewhat Important,Somewhat increased,Very Important,Likely,18-21,White,Extrovert (more outgoing),Bisexual
Moderately decreased,"Yes, sometimes",Very Important,Somewhat increased,Important,Somewhat Unlikely,22-26,East Asian,Introvert (less outgoing),Heterosexual
Moderately decreased,"Yes, often",Somewhat Unimportant,Somewhat decreased,Somewhat Important,Somewhat Likely,18-21,White,Introvert (less outgoing),No Answer
Heavily increased,"Yes, sometimes",Somewhat Important,No noted difference,Very Important,Somewhat Likely,22-26,White,Introvert (less outgoing),Heterosexual
Heavily increased,"Yes, often",Somewhat Unimportant,Somewhat increased,Very Important,Very Likely,18-21,White,Extrovert (more outgoing),Heterosexual
Moderately increased,"Yes, sometimes",Somewhat Important,Somewhat decreased,Important,Somewhat Likely,22-26,White,Extrovert (more outgoing),Heterosexual
Moderately decreased,"Yes, often",Very Important,Somewhat increased,Very Important,Somewhat Unlikely,22-26,White,Extrovert (more outgoing),Other
Heavily increased,"Yes, sometimes",Somewhat Important,Somewhat decreased,Very Important,Very Unlikely,18-21,Hispanic,Extrovert (more outgoing),Bisexual
Heavily increased,"Yes, often",Very Important,Significantly decreased,Very Important,Somewhat Unlikely,22-26,White,Extrovert (more outgoing),Bisexual
Moderately decreased,"Yes, often",Very Important,Somewhat increased,Very Important,Somewhat Unlikely,22-26,White,Extrovert (more outgoing),Other
Moderately increased,"Yes, often",Somewhat Important,Somewhat decreased,Very Important,Somewhat Unlikely,22-26,Black,Introvert (less outgoing),Heterosexual
Not at all,"Yes, often",Very Important,No Answer,No Answer,No Answer,22-26,Hispanic,Extrovert (more outgoing),Bisexual
Moderately increased,"Yes, sometimes",Generally Welcome,Significantly increased,Somewhat Important,Somewhat Likely,18-21,White,Extrovert (more outgoing),Heterosexual
Heavily increased,"Yes, often",Somewhat Important,Somewhat increased,Very Important,Very Unlikely,18-21,White,Extrovert (more outgoing),Heterosexual
Moderately decreased,"Yes, often",Generally Welcome,Somewhat increased,Very Important,Likely,18-21,White,Extrovert (more outgoing),Heterosexual
Moderately decreased,"Yes, often",Very Important,Significantly increased,Somewhat Important,Likely,18-21,White,Extrovert (more outgoing),Heterosexual
Heavily increased,"Yes, often",Very Important,Significantly decreased,Very Important,Somewhat Likely,18-21,East Asian,Introvert (less outgoing),Bisexual
Moderately increased,"Yes, sometimes",Generally Welcome,Somewhat increased,Somewhat Important,Somewhat Unlikely,18-21,White,Introvert (less outgoing),Bisexual
Heavily increased,"Yes, often",Very Important,Somewhat increased,Very Important,Somewhat Unlikely,18-21,South Asian,Extrovert (more outgoing),Bisexual
Moderately increased,"Yes, sometimes",Very Important,Significantly increased,Somewhat Important,Very Likely,22-26,White,Extrovert (more outgoing),Pansexual
Moderately increased,No noticed change,Somewhat Unimportant,No noted difference,Very Important,Very Unlikely,18-21,Black,Introvert (less outgoing),Homosexual
Moderately decreased,"Yes, often",Very Important,No noted difference,Very Important,Very Unlikely,18-21,East Asian,Introvert (less outgoing),Heterosexual
Moderately decreased,"Yes, sometimes",Generally Welcome,Significantly increased,Somewhat Important,Somewhat Likely,18-21,White,Extrovert (more outgoing),Heterosexual
Heavily increased,"Yes, sometimes",Somewhat Important,No noted difference,Very Important,Somewhat Unlikely,18-21,White,Introvert (less outgoing),Homosexual
Heavily increased,"Yes, often",Generally Welcome,Somewhat increased,Very Important,Somewhat Unlikely,22-26,Other,Introvert (less outgoing),Pansexual
Heavily increased,"Yes, often",Very Important,Somewhat increased,Very Important,Somewhat Likely,18-21,White,Extrovert (more outgoing),Pansexual
Moderately increased,"Yes, sometimes",Very Important,Somewhat decreased,Very Important,Somewhat Likely,22-26,White,Introvert (less outgoing),Bisexual
Moderately increased,"Yes, sometimes",Somewhat Important,Somewhat increased,Somewhat Important,Somewhat Likely,18-21,East Asian,Extrovert (more outgoing),Heterosexual
Moderately increased,"Yes, sometimes",Somewhat Important,Somewhat increased,Somewhat Important,Somewhat Likely,18-21,East Asian,Extrovert (more outgoing),Heterosexual
